Lint_percentage Seed_index Lint_index Seed_oil_content
41.3 9 7.9 19.4
40.8 9.4 7.8 18.1
41.4 9.1 8.2 17.9
41 9.1 7.6 19.4
38.8 9.8 7.4 18.6
37.7 10.7 7.8 18.6
37.9 9.4 6.9 19.9
40.7 11.1 9.3 19.1
39.8 10.7 8.4 17.9
39.6 9.5 7.7 18
38.3 9.8 7.5 20.7
37.7 9.7 7.1 19.2
38.4 9.7 7.3 19.7
40 10.1 7.9 16.5
40 9.6 7.4 20.7
40.5 8.7 6.9 18.4
39.3 9.3 7.5 18.5
38 9.4 7.2 18
40.5 10.7 8.6 18.4
36.4 10.2 7.1 19.5
38.9 10.1 7.7 18.7
31.6 11.7 6.4 23.9
42.2 9.7 8.2 18.9
40 10.2 8 18.3
37.7 10 7.4 18.2
41.5 8.9 7.8 19.9
39.8 9.6 7.2 18.7
39.3 9.6 7.5 19.6
37.9 9.8 7.1 18.3
38.7 9.2 7.3 19.7
36 10.4 7.4 20.9
38.5 9.1 7 19.2
42.2 9.2 7.6 19.1
40.2 9 7.1 17.8
40 9 7.7 18.3
40.9 9.4 7.6 21.4
38.2 9.6 7.5 17.9
36.3 10.8 7.4 21.1
39.5 9.6 7.5 18.1
39 9.8 7.8 17.9
41.2 8.9 7.5 15.9
38 10.1 7.7 19.4
39.5 9 7.1 18.1
40.1 9.7 8 18.4
42.5 9.5 8.7 19
41.4 9.5 7.9 17.8
40.5 9.4 8 19.5
39.2 9.1 7.3 19.2
36.2 10.3 7 20.6
42.2 9.2 8.6 17.7
43.7 8.1 6.9 18.5
43.8 7.4 7.1 18.3
44.3 8.2 7.6 17.8
42.5 8.1 7.4 18.6
41.1 8.8 7.4 17.8
43.4 7.4 6.5 18.6
43.8 7.8 7.2 19.1
42.4 8.4 7.6 17.6
41.5 8.3 7.2 19.5
43.1 8.5 8.9 19.3
47.3 7.8 8 17.7
45 8.4 7.5 16.7
44.2 7.9 7.4 17.1
43.7 8.6 8.5 19
43.5 7.8 7.1 17
45.1 7.4 7.4 17.5
45.4 8.6 8.6 18.9
44.9 8.6 8.5 17.2
47.2 8.1 7.7 15.3
45.3 7 6.6 17.2
46.1 8.5 8.6 18.1
45.7 8.4 7.8 18.5
42.6 8.9 7.7 18.9
43.5 8.4 8.4 18.6
44 8.2 7.5 18.3
42.8 7.5 6.7 15.5
46.2 8.3 7.9 18.1
40.6 8.2 7.5 17.9
41.5 8.5 8 18.2
43.7 8.1 8.3 16.9
44 8.2 8.2 17.2
41.6 8.4 7.3 19.1
43.3 7.8 7.5 18.1
43.9 8.3 7.3 17.7
42.3 8.4 7.1 19
43.3 9 8.2 18.6
41.2 8.4 7.6 20.4
44.8 8.1 7.4 18.9
42.2 8.7 7.4 18.1
41.2 8.3 6.4 18.3
